Crash ID,year,latitude,longitude,deaths,serious_injuries
20479259,2024,29.39884952,-98.51311581,0,1
20492452,2024,29.42643497,-98.49315231,0,1
20502122,2024,29.47977418,-98.54125559,0,1
20504324,2024,29.43980291,-98.52752969,0,1
20558764,2024,29.34276701,-98.55330563,0,1
20559642,2024,29.49400496,-98.43505726,0,1
20560362,2024,29.42584497,-98.46563232,0,1
20580237,2024,29.55903494,-98.46150232,0,1
20606789,2025,29.31085991,-98.4742475,0,1
20676091,2025,29.49735581,-98.34922439,0,1
20684528,2025,29.49655495,-98.38905701,0,1
20709191,2025,29.42989497,-98.5658323,1,0
20712851,2025,29.48565497,-98.59377229,0,1
20735073,2025,29.55519135,-98.38255314,1,0
20750252,2025,29.43018497,-98.47326232,0,1
20805389,2025,29.35671904,-98.48670972,0,1
20869086,2025,29.43183804,-98.47969395,0,1
20917180,2025,29.40197626,-98.40543973,0,1
21003710,2025,29.35589232,-98.56267756,0,1
21021506,2025,29.55554836,-98.40636892,0,1
21060036,2025,29.44064497,-98.49298231,0,1
21104484,2025,29.39352848,-98.36478876,1,0
21113355,2025,29.57241495,-98.61738228,0,1
21125390,2025,29.42347391,-98.38914769,0,1
21180050,2025,29.35116227,-98.4886296,0,1
21197540,2025,29.39891498,-98.52815231,1,0
21206071,2025,29.50802073,-98.36986914,1,0
21261878,2026,29.54537973,-98.38366251,0,1
21262641,2026,29.36660498,-98.5514723,0,1
21271110,2026,29.45573497,-98.5327723,1,0
21298533,2026,29.44777273,-98.42813252,0,1
21352841,2026,29.46633497,-98.60250228,0,1
21369195,2025,29.40936597,-98.49632716,0,1
21395671,2026,29.40583635,-98.50959436,0,1
21411305,2026,29.42693497,-98.52582231,0,2
21414702,2026,29.41296526,-98.43180267,0,1
21437935,2026,29.41707498,-98.5632623,0,1
21446395,2026,29.45132497,-98.48610231,0,1
21459853,2026,29.39453232,-98.43647233,0,1
21465558,2026,29.36048498,-98.49255232,0,1
21479841,2026,29.44402497,-98.47394232,0,1
21503340,2026,,,0,1
21509355,2026,29.38880528,-98.52187189,0,1
21514753,2026,29.41970475,-98.53489911,0,1
21528273,2026,29.39248549,-98.48641941,0,1
21595619,2026,29.44912207,-98.6026504,0,1
21599599,2026,29.42655497,-98.52125231,0,1
21613516,2026,29.49874029,-98.4237048,0,1
