segmentid,road_label,from_street,to_street,length_miles,crashes,deaths,serious_injuries,first_year,last_year,max_match_distance_ft
7149,E SOUTHCROSS BLVD,MISSION RD,ROOSEVELT AVE,0.4186621317841827,1,0,1,2024,2024,7.5
7251,S NEW BRAUNFELS AVE,ESSEX ST,WESTFALL AVE,0.0709461035466804,1,0,1,2023,2023,2.2
7830,JONES MALTSBERGER RD,PERENNIAL,CROSS CANYON,0.19699845825302015,1,0,1,2024,2024,1.2
8623,Oconnor Rd,FOUNTAINWOOD DR,LARKDALE DR,0.08175819219042943,1,0,1,2023,2023,0.0
8665,BOB BILLA,DOLLARHIDE AVE,KILLARNEY DR,0.32949475386018645,1,0,1,2018,2018,0.7
9513,S MINTER,SANTIAGO ST,CHIHUAHUA ST,0.03679254602762645,1,0,1,2016,2016,5.5
9584,GULF ST,N PALMETTO,ST JAMES,0.13932102100254876,1,0,1,2024,2024,2.7
10398,EISENHAUER RD,FRATT RD,RAY BON DR,0.2803321167022926,1,0,1,2025,2025,7.4
11314,E WHITE AVE,S FLORES ST,TRENTON ST,0.17550290148453912,1,0,1,2017,2017,1.4
11867,W OLMOS DR,BEACON AVE,AGANIER AVE,0.1065463120076937,1,0,1,2017,2017,1.7
12335,LES HARRISON DR,HIDDEN BROOK,HIDDEN FALLS,0.05308233944739479,1,0,1,2022,2022,1.2
12880,EVERS RD,DAUGHTRY RD,FAIRFORD DR,0.16998920868976014,1,0,1,2016,2016,4.2
13465,S FLORES ST,E PYRON AVE,WIGGINS,0.030062974943928452,1,0,1,2016,2016,3.8
13634,BELKNAP ST,W MISTLETOE,W MAGNOLIA AVE,0.06753572760488236,1,0,1,2019,2019,4.0
14025,W COMMERCE ST,S SAN MANUEL,S SAN DARIO,0.0535670332565782,1,0,1,2023,2023,3.1
14266,HUNTSMAN RD,Dusty Diamond,W HAUSMAN RD,0.03100746861338007,1,0,1,2017,2017,6.3
14554,N AUDUBON,EDISON DR,FRESNO,0.06576068123332392,1,0,1,2016,2016,3.9
15103,W COMMERCE ST,BONANZA,NORIEGA ST,0.14898950802891134,1,0,1,2016,2016,0.8
15333,McCullough Ave,DALLAS ST,CAMDEN ST,0.07362523818995247,1,0,1,2021,2021,3.5
16130,LORENE,LOCKHILL-SELMA RD,MCCARTY,0.43079038537057335,1,0,1,2024,2024,1.7
16782,FRAN FRAN ST,FRIO CITY RD,S CALAVERAS,0.021343044643956584,1,0,1,2021,2021,3.3
17030,STAHL RD,HEARTLAND DR,JUDSON RD,0.11014242726475595,1,0,1,2017,2017,0.3
18180,PICKWELL DR,KATE SCHENCK AVE,HARCOURT AVE,0.05806003569658647,1,0,1,2020,2020,6.2
18242,LEE HALL,WARNER AVE,CATALINA,0.10445694496156728,1,0,1,2017,2017,3.7
