segmentid,road_label,from_street,to_street,road_class,length_miles,crashes,deaths,serious_injuries,severity_score,first_year,last_year,max_match_distance_ft,score_per_mile,candidate_high_injury_segment
518347,N WEIDNER RD,WURZBACH PKWY,WURZBACH PKWY,None,0.010937540261363636,1,1,0,10,2021,2021,4.263582473155111,914.2823487767671,True
518244,BRISTLECONE,BANDERA RD,BANDERA RD,None,0.011731799859848485,1,1,0,10,2022,2022,1.0800728591929893,852.3841285619366,True
819814,US HWY 90 W ACCESS RD,TBD,TBD,None,0.012571956109848485,1,1,0,10,2022,2022,7.385529343623547,795.4211669706917,True
404278,POTEET JOURDANTON FWY,TBD,TBD,None,0.01417078571969697,1,1,0,10,2021,2021,6.136937267523041,705.6771725861536,True
820887,IH 10 W,TBD,TBD,None,0.021040279568181816,1,1,0,10,2019,2019,25.89386604406822,475.27885585334667,True
314571,THOUSAND OAKS,TBD,TBD,Secondary Arterial A,0.012985894856060606,1,0,1,5,2019,2019,8.369828994858354,385.03314984615525,True
518399,WALZEM RD,TBD,TBD,Secondary Arterial B,0.013115589535984849,1,0,1,5,2021,2021,10.63124750235788,381.22571511418914,True
517534,S ZARZAMORA,FRAN FRAN ST,US HWY 90 W ACCESS RD,Primary Arterial B,0.014823737943181817,1,0,1,5,2019,2019,17.065218523641168,337.29684234601245,True
518098,DRIFTWOOD,US HWY 90 W,US HWY 90 W,None,0.015010634541666665,1,0,1,5,2019,2019,2.229618615346941,333.0971776123755,True
408866,CASTROVILLE RD,CORTEZ AVE,JUANITA ST,Secondary Arterial A,0.036359354422348486,1,1,0,10,2023,2023,2.047447848777888,275.03238599455005,True
406284,FRAN FRAN ST,FRIO CITY RD,S CALAVERAS,None,0.021323657162878786,1,0,1,5,2021,2021,3.251552997408152,234.4813538225625,True
202750,S GENERAL MCMULLEN,CORDELIA,MONTEREY ST,Primary Arterial A,0.0508802676875,1,1,0,10,2023,2023,1.8442498318456657,196.53984647680514,True
409386,S GENERAL MCMULLEN,ALDAMA,AMAYA,Primary Arterial A,0.05088992450946969,1,1,0,10,2021,2021,3.632035814792204,196.50255126904702,True
418146,WEST AVE,LA MANDA BLVD,VENICE ST,Secondary Arterial B,0.05710560022159091,1,1,0,10,2021,2021,5.072443142119123,175.11417376222806,True
203095,BANDERA RD,WESTMINSTER,EPWORTH,Primary Arterial A,0.02896568687689394,1,0,1,5,2023,2023,3.906003825504582,172.61803668769625,True
431506,S GENERAL MCMULLEN,TBD,TBD,Primary Arterial A,0.06225235803598485,1,1,0,10,2023,2023,11.63377787445836,160.6364853556153,True
505411,N MITTMAN ST,GULF ST,DAWSON ST,None,0.03210227066098485,1,0,1,5,2019,2019,0.09370064316317439,155.75222241449407,True
846156,S GENERAL MCMULLEN,EL PASO ST,JEWETT,Primary Arterial A,0.03325724091098485,1,0,1,5,2019,2019,5.306333250009438,150.34319934665723,True
310803,SAN PEDRO AVE,W GRAMERCY PLACE,FULTON AVE,Primary Arterial B,0.03442497937310606,1,0,1,5,2023,2023,0.6076209329741246,145.2433695256232,True
8478943,ENRIQUE M BARRERA PKWY,GENA RD,RODRIGUEZ RD,None,0.06922893039962122,1,1,0,10,2022,2022,1.228310009466274,144.44828111997978,True
407686,S ROSILLO,SAUNDERS,W CESAR CHAVEZ BLVD,None,0.07374654553030303,1,1,0,10,2022,2022,8.309758267593187,135.59957185914453,True
407800,S NAVIDAD,DEL VALLE ALLEY,SAN FERNANDO ST,None,0.03722460008333333,1,0,1,5,2023,2023,0.24503744296161695,134.31977748066294,True
202951,NW 24TH ST,RIVAS ST,W POPLAR ST,Secondary Arterial B,0.07587656523674242,1,1,0,10,2020,2020,3.5342544068407293,131.7929978617114,True
407936,S TRINITY,TORREON,EL PASO ST,None,0.03799781601704545,1,0,1,5,2021,2021,0.01820542996375655,131.5865100709222,False
418379,DRESDEN,BLANCO RD,SCOTLAND,None,0.07651637152272728,1,1,0,10,2019,2019,1.9776595982009553,130.6909854844561,False
304224,AUSTIN HWY,BOBBY LOU,WALZEM RD,Primary Arterial A,0.044583694789772726,1,0,1,5,2020,2020,3.3771332335125765,112.14862347270004,False
504284,FAIR AVE,PIEDMONT AVE,PIEDMONT AVE,Secondary Arterial B,0.04610160656060606,1,0,1,5,2023,2023,6.152479057070949,108.45609021080217,False
507768,N MAIN AVE,RICHMOND AVE,W EUCLID AVE,Secondary Arterial B,0.048834313647727265,1,0,1,5,2020,2020,5.772620478105831,102.38702310977803,False
430896,CULEBRA RD,Isla Bonita,GRIFFIN PARK DR,Primary Arterial A,0.1031541892878788,1,1,0,10,2022,2022,3.4574472779523107,96.94225769243728,False
503601,S FLORES ST,E HART AVE,KOEPKE AVE,Secondary Arterial B,0.05297308433901515,1,0,1,5,2020,2020,0.22730158905939984,94.38755666936794,False
410329,LES HARRISON DR,HIDDEN BROOK,HIDDEN FALLS,None,0.05303051148295455,1,0,1,5,2022,2022,1.1726446149669856,94.285343666865,False
202524,W COMMERCE ST,S SAN MANUEL,S SAN DARIO,Secondary Arterial A,0.0535171483314394,1,0,1,5,2023,2023,3.061394570837661,93.42799749034236,False
400209,HUNTERS CRK,FAIRMEADOWS,FORT PARKER DR,None,0.05361971834090909,1,0,1,5,2022,2022,4.674762995184064,93.24927759244227,False
406355,ADAMS HILL DR,PETERSBURG,SAN LUCAS,None,0.054971931498106065,1,0,1,5,2022,2022,5.915177438157736,90.95550881584475,False
401536,CAROLYN ST,OSAGE,TAOS,None,0.05606517627272727,1,0,1,5,2021,2021,5.343840936193739,89.18191883813329,False
846383,S WW WHITE RD,TBD,TBD,Secondary Arterial A,0.05624113873863636,1,0,1,5,2023,2023,1.5089360829125469,88.90289407609586,False
503653,BELLINGER,FERRIS AVE,MARTIN LUTHER KING DR,None,0.05752966532765152,1,0,1,5,2021,2021,0.6301795948946107,86.91168237331567,False
312641,E JOSEPHINE ST,AVENUE A,US HWY 281 N,None,0.05757585140530303,1,0,1,5,2023,2023,7.103044962050015,86.84196373932343,False
406452,BOLING BROOK,HONEYTREE LN,LEMON TREE,None,0.05763334654356061,1,0,1,5,2019,2019,1.0086122935398307,86.75533002791856,False
508862,PICKWELL DR,KATE SCHENCK AVE,HARCOURT AVE,None,0.05800887841666666,1,0,1,5,2020,2020,6.240153197310892,86.19370235166345,False
409673,FIVE PALMS DR,WAR HORSE DR,TRADING POST,None,0.05811569860416666,1,0,1,5,2022,2022,0.41806145602576905,86.03527308611791,False
401250,S ZARZAMORA,W WINNIPEG AVE,HOOVER AVE,Primary Arterial B,0.05832261670833334,1,0,1,5,2019,2019,2.486997940162791,85.73003548528341,False
847154,UTSA BLVD,BABCOCK RD,DREW KAY DR,None,0.058744746070075765,1,0,1,5,2022,2022,1.2482639050767672,85.11399460362927,False
402474,QUINTANA RD,DACUS,TAMPA AVE,Secondary Arterial B,0.06509036519318182,1,0,1,5,2023,2023,2.1322463718830464,76.81628433271945,False
312592,BELKNAP ST,W MISTLETOE,W MAGNOLIA AVE,None,0.0674717088314394,1,0,1,5,2019,2019,4.0412249559620035,74.1051336418825,False
419621,CAPITOL,W LULLWOOD AVE,W HILDEBRAND AVE,None,0.06835018190909091,1,0,1,5,2019,2019,4.050219086283181,73.15269484798512,False
845134,W COMMERCE ST,S RICHTER ST,S COLORADO ST,,0.0688106985719697,1,0,1,5,2019,2019,0.16805224222400122,72.66311930797298,False
508303,N GRIMES ST,HAYS ST,LAMAR ST,None,0.0689425671685606,1,0,1,5,2022,2022,1.0252118253222517,72.52413429536628,False
505322,E HOUSTON ST,N PALMETTO,ST JAMES,Secondary Arterial B,0.1391131040776515,1,1,0,10,2019,2019,1.8386525310288437,71.88395418463313,False
