candidate_group,crashes,deaths,serious_injuries,first_year,last_year,roads,from_streets,to_streets,max_match_distance_ft,span_miles
3,3,2,1,2024,2025,HISTORIC OLD HWY 90,"MONTEREY ST, S SAN JOAQUIN, W CESAR CHAVEZ BLVD","MONTEREY ST, SW 36TH ST",1.665399716590692,0.5404282339061011
2,2,1,1,2024,2025,EVERS RD,"NW LOOP 410, WURZBACH RD","JOINER DR, NW LOOP 410 ACCESS RD",3.0449053646244333,0.1870485643336768
8,2,1,1,2025,2025,WALZEM RD,,,1.417410680642203,1.2476918784765683
0,2,0,2,2024,2026,AUSTIN HWY,WALZEM RD,NE LOOP 410 ACCESS RD,8.567861913902476,1.0038898352956906
1,2,0,2,2024,2024,E HOUSTON ST,"N ST MARYS, SOLEDAD ST","BRIDGE, NAVARRO ST",4.589852642247093,0.2055686108005113
4,2,0,2,2024,2026,IH 35 N ACCESS RD,,,33.49847030073144,0.283325327850021
5,2,0,2,2024,2026,NOGALITOS ST,"PRADO ST, PRUITT","CONCEPTION CT, DRAKE AVE",4.616533190599288,0.6938661135771933
6,2,0,2,2024,2025,ROOSEVELT AVE,HERBST,SE LOOP 410 ACCESS RD,9.08735298219032,0.8341203822602631
7,2,0,2,2025,2026,S FLORES ST,"E HARDING BLVD, KENDALIA AVE","E BONNER AVE, GENEVIEVE DR",4.328716020599164,0.6409646499859677
