Crash ID,year,latitude,longitude,deaths,serious_injuries,radius_m,cluster
14852242,2016,29.43019497,-98.46404232,0,1,250,-1
14863653,2016,29.46543854,-98.565852,0,1,250,-1
14864296,2016,29.4043829,-98.51104107,0,1,250,-1
14874540,2016,29.41275608,-98.60569087,1,1,250,-1
14947145,2016,29.47448496,-98.51804231,0,1,250,-1
14983972,2016,29.47420496,-98.50598231,0,1,250,-1
15050658,2016,29.43075497,-98.5541023,1,0,250,-1
15102236,2016,29.45636684,-98.32528954,0,1,250,-1
15154953,2016,29.46634558,-98.60820357,1,0,250,-1
15159587,2016,29.43393497,-98.47325232,1,0,250,-1
15223748,2016,29.37269734,-98.53775209,0,1,250,-1
15299255,2016,29.43707273,-98.47325232,0,1,250,-1
15324650,2016,29.41772497,-98.5363223,0,1,250,-1
15347500,2016,29.53626453,-98.68212331,1,0,250,-1
15360482,2016,29.44968146,-98.58033132,0,1,250,-1
15375869,2016,29.49997496,-98.57818229,0,1,250,-1
15383002,2016,29.48217497,-98.58933229,0,1,250,-1
15416158,2016,29.32699499,-98.41840234,0,1,250,-1
15429535,2016,29.50275939,-98.72737917,0,1,250,-1
15437815,2016,29.50899716,-98.40956912,0,1,250,0
15447221,2016,29.43429144,-98.59164568,0,1,250,-1
15452714,2016,29.36285556,-98.49354055,0,1,250,-1
15463137,2016,29.45290497,-98.51473231,0,1,250,-1
15467423,2016,29.36895498,-98.48616232,0,1,250,-1
15515037,2016,29.49859682,-98.44998727,0,1,250,-1
15546280,2017,29.52477894,-98.5988183,0,1,250,-1
15566624,2017,29.51076495,-98.45902232,0,1,250,-1
15568203,2017,29.41442111,-98.56344052,0,1,250,-1
15605907,2017,29.42946571,-98.48051472,0,1,250,-1
15647820,2017,29.52721077,-98.41105422,0,1,250,-1
15655603,2017,29.46132497,-98.5228623,0,1,250,-1
15658327,2017,29.36973691,-98.50421053,0,1,250,-1
15664678,2017,29.36160499,-98.5342782,0,1,250,-1
15676352,2017,29.46490497,-98.64506227,0,1,250,-1
15772420,2017,29.44988224,-98.53982912,0,1,250,-1
15776813,2017,29.39706498,-98.50444231,0,1,250,-1
15781301,2017,29.40486666,-98.46820565,1,0,250,-1
15799265,2017,29.41296497,-98.49158232,0,1,250,-1
15817051,2017,29.44159137,-98.50337931,0,1,250,-1
15817994,2017,29.52748495,-98.41105233,0,1,250,-1
15819991,2017,29.46638433,-98.51589192,0,1,250,-1
15836856,2017,29.42017794,-98.58775527,0,1,250,-1
15838416,2017,29.35552597,-98.48123932,0,1,250,-1
15870361,2017,29.47061496,-98.50606231,0,1,250,-1
15880435,2017,29.40776618,-98.49748829,0,1,250,-1
15922662,2017,29.43337021,-98.46104159,1,0,250,-1
15941035,2017,29.3651309,-98.49450256,0,1,250,-1
15994132,2017,29.51599974,-98.41111737,0,1,250,-1
16005394,2017,29.57095495,-98.63809227,0,1,250,-1
16024762,2017,29.58631494,-98.37910234,0,1,250,-1
16058401,2017,29.48413496,-98.37636862,0,1,250,-1
16098965,2017,29.47603496,-98.51577975,0,1,250,-1
16108900,2017,29.51794582,-98.56257101,0,1,250,-1
16154442,2017,29.36009498,-98.50388231,0,1,250,-1
16184506,2018,29.41195498,-98.5382323,0,1,250,-1
16225619,2018,29.3961777,-98.49816517,0,1,250,-1
16231341,2018,29.44055497,-98.67599227,0,1,250,-1
16242018,2018,29.43536987,-98.60207237,1,0,250,-1
16266003,2018,29.45512359,-98.53752664,0,1,250,-1
16315364,2018,29.43858497,-98.57583229,0,1,250,-1
16327099,2018,29.36597498,-98.43713233,0,1,250,-1
16391304,2018,29.39181498,-98.46122232,1,0,250,-1
16418544,2018,29.35176499,-98.5540323,1,0,250,-1
16446429,2018,29.36398498,-98.52841222,0,1,250,-1
16483856,2018,29.41091497,-98.49432231,0,1,250,-1
16484261,2018,29.40421664,-98.52018831,1,0,250,-1
16494327,2018,29.45708799,-98.55475222,0,1,250,-1
16527286,2018,29.46207985,-98.56138642,0,1,250,-1
16565147,2018,29.42643497,-98.49132231,0,1,250,1
16612152,2018,29.51865691,-98.44954615,0,1,250,-1
16615828,2018,29.51602858,-98.42765426,0,1,250,-1
16615836,2018,29.35667136,-98.51860424,0,1,250,3
16635564,2018,29.46645496,-98.51187231,0,1,250,-1
16758818,2018,29.44635497,-98.50379231,0,1,250,-1
16769644,2018,29.42977514,-98.50069993,0,1,250,-1
16814144,2018,29.50990495,-98.40829233,0,1,250,0
16843402,2019,29.44050792,-98.4941698,0,1,250,2
16866786,2019,29.44749986,-98.55187751,0,1,250,-1
16894452,2019,29.36159499,-98.53814231,0,1,250,-1
16916156,2019,29.6062506,-98.60210934,1,0,250,-1
16964805,2019,29.53716015,-98.41105388,0,1,250,-1
16996219,2019,29.45480497,-98.49738231,0,1,250,-1
17024884,2019,29.42507497,-98.46405871,1,0,250,-1
17103621,2019,29.4095043,-98.49656952,0,1,250,-1
17134787,2019,29.39891936,-98.5307394,0,1,250,-1
17199950,2019,29.40150984,-98.53737019,0,1,250,-1
17213977,2019,29.42667497,-98.51100231,0,1,250,-1
17234298,2019,29.40722902,-98.58267974,1,0,250,-1
17280414,2019,29.42634497,-98.45455232,0,1,250,-1
17310489,2019,29.42240039,-98.55509252,0,1,250,-1
17322062,2019,29.38618305,-98.5331005,0,1,250,-1
17359127,2019,29.4663284,-98.51365563,0,1,250,-1
17373324,2019,29.51749804,-98.46642398,1,0,250,-1
17380716,2019,29.49903496,-98.50808726,1,0,250,-1
17390501,2019,29.53320128,-98.38946564,0,1,250,-1
17415254,2019,29.42165498,-98.67219227,0,1,250,-1
17496702,2020,29.3683242,-98.51076958,0,1,250,-1
17599189,2020,29.36129498,-98.42678233,0,1,250,-1
17615543,2020,29.55162208,-98.58590257,0,1,250,-1
17684424,2020,29.56542051,-98.52008573,0,1,250,-1
17713081,2020,29.37762498,-98.49976231,0,1,250,-1
17731848,2020,29.45424497,-98.5282523,0,1,250,-1
17731956,2020,29.43695713,-98.49414231,0,1,250,-1
17886962,2020,29.47337709,-98.57883875,0,1,250,-1
17894107,2020,29.49477755,-98.55505354,0,1,250,-1
17903133,2020,29.51004172,-98.40811108,0,1,250,0
17911700,2020,29.33597057,-98.46433612,0,1,250,-1
17953849,2020,29.45672802,-98.55427997,0,1,250,-1
17967400,2020,29.44212543,-98.54107531,1,0,250,-1
17977482,2020,29.43916215,-98.45297548,0,1,250,-1
18062168,2021,29.48739497,-98.5259923,1,0,250,-1
18219091,2021,29.40518198,-98.51069511,0,1,250,-1
18294460,2021,29.52373955,-98.59985747,1,0,250,-1
18365259,2021,29.44849497,-98.59753269,0,1,250,-1
18372962,2021,29.43616497,-98.48934231,0,1,250,-1
18428041,2021,29.41985497,-98.51879231,0,1,250,-1
18467484,2021,29.32007122,-98.5529911,1,0,250,-1
18467486,2021,29.5459737,-98.38229775,1,0,250,-1
18503559,2021,29.41343497,-98.43346233,0,1,250,-1
18534629,2021,29.57531557,-98.59897666,0,1,250,-1
18551745,2021,29.40198498,-98.5337923,0,1,250,-1
18553395,2021,29.39909435,-98.52830543,0,1,250,-1
18593918,2021,29.5103035,-98.39775085,0,1,250,-1
18668014,2021,29.40849816,-98.55678163,1,0,250,-1
18708242,2022,29.40936227,-98.66977366,0,1,250,-1
