segmentid,road_label,from_street,to_street,road_class,length_miles,crashes,deaths,serious_injuries,severity_score,first_year,last_year,max_match_distance_ft,score_per_mile,candidate_high_injury_segment
403922,HISTORIC OLD HWY 90,W CESAR CHAVEZ BLVD,SW 36TH ST,Secondary Arterial A,0.20373177907386364,1,0,1,5,2024,2024,1.500044972556066,24.542072045555706,False
312647,E JOSEPHINE ST,AUSTIN ST,N PINE ST,None,0.22206499554924244,1,0,1,5,2026,2026,2.1878143380166652,22.51593047176704,False
424785,US HWY 90 W ACCESS RD,TBD,TBD,None,0.22442909230492425,1,0,1,5,2024,2024,12.806022732568817,22.27875160323096,False
307862,UHR LN,TAMARRON,HILTON HEAD,None,0.2261657039469697,1,0,1,5,2025,2025,1.761128811117083,22.107684378053964,False
847544,W HAUSMAN RD,BRIDGE,JV Bacon Pkwy,Secondary Arterial A,0.23262574482007575,1,0,1,5,2025,2025,6.3831553730630315,21.49375170777958,False
304225,AUSTIN HWY,WALZEM RD,NE LOOP 410 ACCESS RD,Primary Arterial A,0.23463517691856062,1,0,1,5,2024,2024,8.567861913902476,21.309677711860942,False
308333,DEERWOOD DR,CLOUDHAVEN DR,THRUSH VIEW LN,None,0.24012291354356058,1,0,1,5,2024,2024,5.596121653467614,20.822669216417584,False
504144,ROOSEVELT AVE,HERBST,SE LOOP 410 ACCESS RD,Primary Arterial A,0.24103055057007575,1,0,1,5,2024,2024,9.08735298219032,20.74425830324912,False
411960,INGRAM RD,DARWIN DR,CALLAGHAN RD,Secondary Arterial B,0.2586950061041667,1,0,1,5,2026,2026,3.0164987166951724,19.32777936187407,False
310465,EISENHAUER RD,FRATT RD,RAY BON DR,Secondary Arterial A,0.2800579171609849,1,0,1,5,2025,2025,7.4305315936749174,17.85344992452352,False
313767,IH 35 N ACCESS RD,TBD,TBD,None,0.28666634847727274,1,0,1,5,2026,2026,33.49847030073144,17.44187982495757,False
820695,WURZBACH PKWY,TBD,TBD,Super Arterial A,0.31101259157007577,1,0,1,5,2026,2026,1.3171600605719997,16.076519522115316,False
504951,STEVES AVE,MISSION RD,ROOSEVELT AVE,Secondary Arterial B,0.3160591972102273,1,0,1,5,2026,2026,5.021952597743633,15.819821236444646,False
313769,IH 35 N ACCESS RD,TBD,TBD,None,0.3303212709185606,1,0,1,5,2024,2024,1.3060555381800718,15.136778767216386,False
513510,SOUTHTON RD,WRANGLER PARK,DONOP RD,Enhanced Secondary Arteri,0.33207092844507574,1,0,1,5,2024,2024,2.0716714881136853,15.057024182792912,False
509608,S PRESA ST,HENDERSON CT,GRAF RD,Secondary Arterial A,0.7181457287102273,1,1,0,10,2024,2024,4.541710931277354,13.924750367811507,False
306365,CROSSWINDS WAY,TECH COM,WURZBACH PKWY,Secondary Arterial A,0.37620344561553026,1,0,1,5,2024,2024,4.861410084707998,13.290681035148904,False
314336,US HWY 281 N,TBD,TBD,None,0.38058084278598486,1,0,1,5,2024,2024,5.208438910570501,13.137813147393997,False
820608,NW LOOP 410,TBD,TBD,None,0.3967864064185606,1,0,1,5,2024,2024,18.019439754357432,12.601238145052827,False
503972,E SOUTHCROSS BLVD,MISSION RD,ROOSEVELT AVE,Secondary Arterial A,0.4182902144621212,1,0,1,5,2024,2024,7.463606100732917,11.95342331024763,False
311659,LORENE,LOCKHILL-SELMA RD,MCCARTY,None,0.43035999528598484,1,0,1,5,2024,2024,1.678400914427268,11.618180255526251,False
425116,IH 35 S,TBD,TBD,None,0.49946638668181814,1,0,1,5,2024,2024,23.149219276899252,10.010683668258977,False
516702,CLUB HOUSE BLVD,DEL LAGO PKWY,COURSE VIEW DR,None,0.5587034762613636,1,0,1,5,2024,2024,2.866754278720599,8.949291014722416,False
